epoch,train_loss,val_loss,lr,batches_per_epoch,effective_epochs,effective_updates
1,0.47089895606040955,0.4361286163330078,0.0008,16,60,960
2,0.3758370280265808,0.3456459045410156,0.0008,16,60,960
3,0.36892208456993103,0.34088167548179626,0.0008,16,60,960
4,0.3673037588596344,0.34295034408569336,0.0008,16,60,960
5,0.3646392226219177,0.3403974771499634,0.0008,16,60,960
6,0.36468052864074707,0.3418042063713074,0.0008,16,60,960
7,0.3628237247467041,0.3411540985107422,0.0008,16,60,960
8,0.36275628209114075,0.34565454721450806,0.0008,16,60,960
9,0.359658420085907,0.3404982089996338,0.0008,16,60,960
10,0.36034828424453735,0.34112459421157837,0.0008,16,60,960
11,0.3590490221977234,0.34203606843948364,0.0008,16,60,960
12,0.35858431458473206,0.34075891971588135,0.00068,16,60,960
13,0.3598554730415344,0.3410203456878662,0.00068,16,60,960
14,0.3616981506347656,0.33976006507873535,0.00068,16,60,960
15,0.3594202399253845,0.3417777419090271,0.00068,16,60,960
16,0.3594644069671631,0.3407323658466339,0.00068,16,60,960
17,0.35950613021850586,0.34137704968452454,0.00068,16,60,960
18,0.35840216279029846,0.3418436646461487,0.00068,16,60,960
19,0.3576226532459259,0.3409210443496704,0.00068,16,60,960
20,0.3597174286842346,0.34097862243652344,0.00068,16,60,960
21,0.3585938513278961,0.3413849472999573,0.00068,16,60,960
22,0.35841813683509827,0.34137916564941406,0.00068,16,60,960
