fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
3,X0,X1,input,True,True,-1.1875611024581954,-0.9489182694799094,-1.2461393400810243,-0.9957250904166827,-0.05857823762282899,0.4485,1.7546508194403961e-181,True,True,True,True,True,True,True,aligned_observable_state,-1.187294380416882,-0.9487051457784416,0.00026672204131328314,0.4475,1.2067197058552138e-180,True,True,True,True
3,X0,X2,input,False,False,-0.001986765453543017,-0.001973238733005202,0.0,0.0,0.001986765453543017,0.0185,0.8835917582147937,False,False,False,False,False,True,True,aligned_observable_state,-0.0022111385106799337,-0.002196084165613167,-0.00022437305713691666,0.018,0.9023552779223781,False,False,False,True
3,X0,X3,output,True,True,3.214262535267279,1.4865950982966516,3.207027664135387,1.4832489733788923,-0.007234871131891918,0.908,0.0,True,True,True,True,True,True,True,aligned_observable_state,3.233938735996973,1.495695333027612,0.019676200729693782,1.0,0.0,True,True,True,True
3,X0,X4,output,True,True,0.45485120676378865,0.27215969528762246,0.4947719483271066,0.29604622498780814,0.03992074156331793,0.124,8.213581360358148e-14,True,True,True,False,False,False,False,aligned_observable_state,0.4631481216215183,0.2771241447293928,0.008296914857729654,0.1925,8.332702565581601e-33,True,True,True,True
3,X0,X5,output,False,True,-4.3251907245759025,-1.3932574652368637,-4.383233769592046,-1.4119546536207934,-0.058043045016143324,0.815,0.0,True,True,True,True,True,False,True,aligned_observable_state,-4.334385508784118,-1.3962193465861756,-0.009194784208215623,0.9955,0.0,True,True,True,True
3,X1,X0,input,False,False,0.018119808056779662,0.01797001082940181,0.0,0.0,-0.018119808056779662,0.0175,0.9194667579636621,False,False,False,False,False,True,True,aligned_observable_state,0.018440470489062485,0.01828802233165658,0.00032066243228282346,0.0175,0.9194667579636621,False,False,False,True
3,X1,X2,input,False,False,0.03315824812483629,0.03293249306396167,0.0,0.0,-0.03315824812483629,0.0215,0.7445353818345306,False,False,False,False,False,True,True,aligned_observable_state,0.03141721560927041,0.031203314217505707,-0.0017410325155658782,0.0215,0.7445353818345306,False,False,False,True
3,X1,X3,output,False,False,-0.0032275842276791563,-0.001492756375548656,0.0,0.0,0.0032275842276791563,0.026,0.5085995252205004,False,False,False,False,False,True,True,aligned_observable_state,0.03554079692077634,0.01643760393318009,0.038768381148455495,0.037,0.1293721790169698,False,False,False,True
3,X1,X4,output,False,False,0.0507856184306147,0.03038751625044591,0.0,0.0,-0.0507856184306147,0.024,0.6122516588087653,True,False,False,False,False,True,True,aligned_observable_state,0.02479223011086712,0.014834402310332371,-0.025993388319747582,0.029,0.36968362182350656,False,False,False,True
3,X1,X5,output,True,True,1.7293495900886247,0.5570688970326362,1.7013382124928111,0.5480456970324182,-0.028011377595813514,0.279,6.325859390276165e-69,True,True,True,False,False,False,False,aligned_observable_state,1.6124889348161027,0.5194250124691693,-0.11686065527252198,0.3385,6.4427358912642145e-102,True,True,True,True
3,X2,X0,input,False,False,-0.028424340064610868,-0.028189354830861064,0.0,0.0,0.028424340064610868,0.0265,0.48382276598146434,False,False,False,False,False,True,True,aligned_observable_state,-0.02830248970558997,-0.028068511813964272,0.00012185035902089955,0.0265,0.48382276598146434,False,False,False,True
3,X2,X1,input,False,False,0.002947952581683679,0.0023555554796546403,0.0,0.0,-0.002947952581683679,0.0155,0.9699601425241099,False,False,False,False,False,True,True,aligned_observable_state,0.0037592493611732294,0.003003820511604816,0.0008112967794895506,0.0155,0.9699601425241099,False,False,False,True
3,X2,X3,output,False,False,-0.06431499948295707,-0.02974566076332196,0.0,0.0,0.06431499948295707,0.0355,0.1607718238327084,True,False,False,False,False,True,True,aligned_observable_state,-0.03242188771757826,-0.014995109711680218,0.03189311176537882,0.023,0.6655293215356356,False,False,False,True
3,X2,X4,output,True,True,1.7455351489531226,1.0444389444032516,1.7451794916259988,1.0442261372515118,-0.0003556573271237262,0.4935,1.8690916313435545e-221,True,True,True,True,True,True,True,aligned_observable_state,1.726234395122759,1.0328903605956656,-0.01930075383036356,1.0,0.0,True,True,True,True
3,X2,X5,output,False,False,0.07577659382916352,0.024409629948296856,0.0,0.0,-0.07577659382916352,0.0375,0.12008880119724025,True,False,False,False,False,True,True,aligned_observable_state,0.07879744161458963,0.025382724314858426,0.003020847785426106,0.0205,0.7948265413398378,True,False,False,True
