fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
5,X0,X1,input,True,True,-1.2387609090721061,-1.0013164355962392,-1.2069959795269016,-0.9756401765245878,0.03176492954520449,0.4765,8.031420155926838e-206,True,True,True,True,True,True,True,outputs,,,,,,,,,
5,X0,X2,input,False,False,0.04568352633823873,0.04588277372634228,0.0,0.0,-0.04568352633823873,0.035,0.1724962716243393,False,False,False,False,False,True,True,outputs,,,,,,,,,
5,X0,X3,output,True,True,3.1856297768200763,1.4686904518145831,3.1769201340995243,1.4646749917647466,-0.008709642720551969,0.8955,0.0,True,True,True,False,False,False,False,outputs,3.137470006942749,1.4464870574669126,-0.048159769877327285,1.0,0.0,True,True,True,True
5,X0,X4,output,True,True,0.4847574094591125,0.2947982402745214,0.41260291228163803,0.2509185215105599,-0.07215449717747446,0.1275,1.3998507612211968e-14,True,True,True,True,True,True,True,outputs,0.48735809326171875,0.29637980869113256,0.0026006838026062518,0.1955,7.889181557178101e-34,True,True,True,True
5,X0,X5,output,False,True,-4.381149887232364,-1.4122122676911542,-4.33113762593492,-1.3960914019921624,0.05001226129744385,0.817,0.0,True,True,True,False,False,True,False,outputs,-4.324901580810547,-1.3940812860059053,0.056248306421816885,0.998,0.0,True,True,True,True
5,X1,X0,input,False,False,0.022856600383679912,0.022666066948631294,0.0,0.0,-0.022856600383679912,0.0215,0.7445353818345306,False,False,False,False,False,True,True,outputs,,,,,,,,,
5,X1,X2,input,False,False,0.01906002970005617,0.019143159472193163,0.0,0.0,-0.01906002970005617,0.015,0.9780895655250116,False,False,False,False,False,True,True,outputs,,,,,,,,,
5,X1,X3,output,False,False,0.062398676825094285,0.028768045026989948,0.0,0.0,-0.062398676825094285,0.023,0.6655293215356356,True,False,False,False,False,True,True,outputs,0.07085640728473663,0.03266736442075127,0.008457730459642349,0.018,0.9023552779223781,True,False,False,True
5,X1,X4,output,False,False,0.03777745319513785,0.02297381433819853,0.0,0.0,-0.03777745319513785,0.0155,0.9699601425241099,False,False,False,True,True,False,False,outputs,0.008569403551518917,0.005211359409665898,-0.029208049643618936,0.023,0.6655293215356356,False,False,False,True
5,X1,X5,output,True,True,1.6796842241435495,0.541426504054462,1.7175699770125168,0.5536385320264311,0.03788575286896734,0.278,1.98571665366449e-68,True,True,True,False,False,False,False,outputs,1.5073912143707275,0.48588987364889596,-0.17229300977282191,0.321,1.6605116680439892e-91,True,True,True,True
5,X2,X0,input,False,False,0.013809967651140152,0.013694847268829892,0.0,0.0,-0.013809967651140152,0.0265,0.48382276598146434,False,False,False,False,False,True,True,outputs,,,,,,,,,
5,X2,X1,input,False,False,0.00806552483257338,0.0065195329602503885,0.0,0.0,-0.00806552483257338,0.02,0.8187536311788122,False,False,False,False,False,True,True,outputs,,,,,,,,,
5,X2,X3,output,False,False,0.03328151712689337,0.015343982148159256,0.0,0.0,-0.03328151712689337,0.029,0.36968362182350656,False,False,False,True,True,False,False,outputs,0.04204326495528221,0.019383464535722542,0.008761747828388844,0.0265,0.48382276598146434,False,False,False,True
5,X2,X4,output,True,True,1.6698807812891532,1.0155139585005293,1.7267598255149432,1.0501041304485332,0.05687904422579004,0.4685,1.08658258057175e-198,True,True,True,False,False,False,False,outputs,1.7504987716674805,1.0645406288190236,0.08061799037832729,0.9995,0.0,True,True,True,True
5,X2,X5,output,False,False,-0.0031592191395338268,-0.0010183372265295287,0.0,0.0,0.0031592191395338268,0.0175,0.9194667579636621,False,False,False,False,False,True,True,outputs,-0.04221013933420181,-0.013605943216512283,-0.039050920194667986,0.0325,0.24148215150724364,False,False,False,True
5,X3,X0,input,False,False,0.007075425297031181,0.007016444299698094,0.0,0.0,-0.007075425297031181,0.019,0.8633028038475316,False,False,False,False,False,True,True,outputs,,,,,,,,,
5,X3,X1,input,False,False,-0.0034353588449565903,-0.002776872638161136,0.0,0.0,0.0034353588449565903,0.026,0.5085995252205004,False,False,False,False,False,True,True,outputs,,,,,,,,,
5,X3,X2,input,False,False,0.023667472770923945,0.023770697773689793,0.0,0.0,-0.023667472770923945,0.0225,0.6921279615281888,False,False,False,False,False,True,True,outputs,,,,,,,,,
5,X3,X4,output,True,True,-2.8050218248114485,-1.7058336432829484,-2.7490907148852717,-1.671819943933339,0.05593110992617678,0.4625,1.954319602161041e-193,True,True,True,False,False,False,False,outputs,0.02360660769045353,0.014356018639842297,2.828628432501902,0.0225,0.6921279615281888,False,False,False,False
5,X3,X5,output,True,True,-3.826220738341692,-1.2333373668240035,-3.819076603132953,-1.2310345386525166,0.007144135208739133,0.82,0.0,True,True,True,False,False,False,False,outputs,-0.015506282448768616,-0.004998268231874728,3.8107144558929233,0.0165,0.9483720845849481,False,False,False,False
5,X4,X0,input,False,False,0.025688969681218338,0.02547482551480428,0.0,0.0,-0.025688969681218338,0.0235,0.6388604192561329,False,False,False,False,False,True,True,outputs,,,,,,,,,
5,X4,X1,input,False,False,0.02254970893008491,0.01822740288642011,0.0,0.0,-0.02254970893008491,0.021,0.770029236885313,False,False,False,False,False,True,True,outputs,,,,,,,,,
5,X4,X2,input,False,False,0.058806314293820376,0.05906279634470865,0.0,0.0,-0.058806314293820376,0.0305,0.3100757299327459,True,False,False,False,False,True,True,outputs,,,,,,,,,
5,X4,X3,output,False,False,0.07434252258409975,0.03427458955763149,0.0,0.0,-0.07434252258409975,0.0375,0.12008880119724025,True,False,False,False,False,True,True,outputs,0.05045390501618385,0.02326107355387592,-0.023888617567915896,0.0235,0.6388604192561329,True,False,False,True
5,X4,X5,output,False,False,-0.05832728403431411,-0.018801115728637952,0.0,0.0,0.05832728403431411,0.033,0.22624166055654427,True,False,False,False,False,True,True,outputs,-0.03720397502183914,-0.011992264881379519,0.021123309012474965,0.0265,0.48382276598146434,False,False,False,True
5,X5,X0,input,False,False,0.06284737894961415,0.062323480959796625,0.0,0.0,-0.06284737894961415,0.031,0.291764846534962,True,False,False,False,False,True,True,outputs,,,,,,,,,
5,X5,X1,input,False,False,-0.05580393885222222,-0.04510749470258357,0.0,0.0,0.05580393885222222,0.0395,0.08825990831879754,True,False,False,False,False,True,True,outputs,,,,,,,,,
5,X5,X2,input,False,False,0.05105453005650733,0.051277202923074076,0.0,0.0,-0.05105453005650733,0.035,0.1724962716243393,True,False,False,False,False,True,True,outputs,,,,,,,,,
5,X5,X3,output,False,False,0.11982857764324739,0.0552453047493911,0.0,0.0,-0.11982857764324739,0.0245,0.5858212770267918,True,False,False,False,False,True,True,outputs,0.11899871379137039,0.05486270752342769,-0.0008298638518769996,0.033,0.22624166055654427,True,False,False,True
