figure,panel,metric,dataset,source,test,n,stat,p_raw,delta_mean,delta_median,rank_biserial,q_bh
structural_ci_mismatch_sensitivity,absolute,edge_f1,LinearSEMDataset,data_truth,paired_wilcoxon,5,1.0,1.0,0.00586080586080584,0.0,0.0,1.0
structural_ci_mismatch_sensitivity,absolute,edge_f1,LinearSEMDataset,model_truth,paired_wilcoxon,5,1.0,0.25,-0.0739194139194139,-0.0641025641025641,-0.5,0.5
structural_ci_mismatch_sensitivity,absolute,edge_f1,ElectricalCircuitData,data_truth,paired_wilcoxon,5,0.0,0.125,-0.13333333333333347,-0.13888888888888906,-1.0,0.3
structural_ci_mismatch_sensitivity,absolute,edge_f1,ElectricalCircuitData,model_truth,paired_wilcoxon,5,0.0,0.0625,-0.25717948717948724,-0.2500000000000001,-1.0,0.3
structural_ci_mismatch_sensitivity,delta,edge_f1,LinearSEMDataset,delta,paired_wilcoxon,5,3.0,0.625,-0.07978021978021974,0.0,0.0,0.9375
structural_ci_mismatch_sensitivity,delta,edge_f1,ElectricalCircuitData,delta,paired_wilcoxon,5,0.0,0.0625,-0.1238461538461538,-0.09444444444444422,-1.0,0.3
structural_ci_mismatch_sensitivity,absolute,endpoint_f1,LinearSEMDataset,data_truth,paired_wilcoxon,5,5.0,1.0,0.020879120879120906,0.0,0.0,1.0
structural_ci_mismatch_sensitivity,absolute,endpoint_f1,LinearSEMDataset,model_truth,paired_wilcoxon,5,7.0,1.0,0.004615384615384599,-0.03846153846153849,-0.2,1.0
structural_ci_mismatch_sensitivity,absolute,endpoint_f1,ElectricalCircuitData,data_truth,paired_wilcoxon,5,0.0,0.125,-0.039999999999999904,-0.04166666666666652,-1.0,0.3
structural_ci_mismatch_sensitivity,absolute,endpoint_f1,ElectricalCircuitData,model_truth,paired_wilcoxon,5,0.0,0.125,-0.13025641025641027,-0.07499999999999996,-1.0,0.3
structural_ci_mismatch_sensitivity,delta,endpoint_f1,LinearSEMDataset,delta,paired_wilcoxon,5,7.0,1.0,-0.016263736263736304,0.07692307692307682,0.2,1.0
structural_ci_mismatch_sensitivity,delta,endpoint_f1,ElectricalCircuitData,delta,paired_wilcoxon,5,3.0,0.3125,-0.09025641025641037,-0.03333333333333344,-0.6,0.5357142857142857
