figure,test,dataset,metric,view,comparison,n,stat,p_raw,delta_mean,delta_median,rank_biserial,q_bh
structural_extraction_baselines_truth,paired_wilcoxon,LinearSEMDataset,edge_f1,absolute,pre_activations_vs_activations,5,0.0,1.0,0.03076923076923077,0.0,1.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,LinearSEMDataset,edge_f1,absolute,inputs_outputs_vs_activations,5,0.0,1.0,0.03076923076923077,0.0,1.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,LinearSEMDataset,edge_f1,absolute,weights_vs_activations,5,0.0,0.0625,-0.3067571644042232,-0.3076923076923077,-1.0,0.1875
structural_extraction_baselines_truth,paired_wilcoxon,LinearSEMDataset,edge_f1,delta,pre_activations_vs_activations,5,0.0,1.0,0.03076923076923077,0.0,1.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,LinearSEMDataset,edge_f1,delta,inputs_outputs_vs_activations,5,0.0,1.0,0.03076923076923077,0.0,1.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,LinearSEMDataset,edge_f1,delta,weights_vs_activations,5,0.0,0.0625,-0.3067571644042232,-0.3076923076923077,-1.0,0.1875
structural_extraction_baselines_truth,paired_wilcoxon,LinearSEMDataset,endpoint_f1,absolute,pre_activations_vs_activations,5,0.0,1.0,0.015384615384615385,0.0,1.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,LinearSEMDataset,endpoint_f1,absolute,inputs_outputs_vs_activations,5,0.0,1.0,0.015384615384615385,0.0,1.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,LinearSEMDataset,endpoint_f1,absolute,weights_vs_activations,5,0.0,0.0625,-0.20081447963800905,-0.1692307692307692,-1.0,0.1875
structural_extraction_baselines_truth,paired_wilcoxon,LinearSEMDataset,endpoint_f1,delta,pre_activations_vs_activations,5,0.0,1.0,0.015384615384615385,0.0,1.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,LinearSEMDataset,endpoint_f1,delta,inputs_outputs_vs_activations,5,0.0,1.0,0.015384615384615385,0.0,1.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,LinearSEMDataset,endpoint_f1,delta,weights_vs_activations,5,0.0,0.0625,-0.20081447963800905,-0.16923076923076918,-1.0,0.1875
structural_extraction_baselines_truth,paired_wilcoxon,ElectricalCircuitData,edge_f1,absolute,pre_activations_vs_activations,5,0.0,1.0,0.0,0.0,0.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,ElectricalCircuitData,edge_f1,absolute,inputs_outputs_vs_activations,5,0.0,1.0,0.0,0.0,0.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,ElectricalCircuitData,edge_f1,absolute,weights_vs_activations,5,0.0,0.0625,-0.4244068693604298,-0.35555555555555574,-1.0,0.1875
structural_extraction_baselines_truth,paired_wilcoxon,ElectricalCircuitData,edge_f1,delta,pre_activations_vs_activations,5,0.0,1.0,0.0,0.0,0.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,ElectricalCircuitData,edge_f1,delta,inputs_outputs_vs_activations,5,0.0,1.0,0.0,0.0,0.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,ElectricalCircuitData,edge_f1,delta,weights_vs_activations,5,0.0,0.0625,-0.4244068693604298,-0.35555555555555574,-1.0,0.1875
structural_extraction_baselines_truth,paired_wilcoxon,ElectricalCircuitData,endpoint_f1,absolute,pre_activations_vs_activations,5,0.0,1.0,0.0,0.0,0.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,ElectricalCircuitData,endpoint_f1,absolute,inputs_outputs_vs_activations,5,0.0,1.0,0.0,0.0,0.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,ElectricalCircuitData,endpoint_f1,absolute,weights_vs_activations,5,0.0,0.0625,-0.3066478791246593,-0.25,-1.0,0.1875
structural_extraction_baselines_truth,paired_wilcoxon,ElectricalCircuitData,endpoint_f1,delta,pre_activations_vs_activations,5,0.0,1.0,0.0,0.0,0.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,ElectricalCircuitData,endpoint_f1,delta,inputs_outputs_vs_activations,5,0.0,1.0,0.0,0.0,0.0,1.0
structural_extraction_baselines_truth,paired_wilcoxon,ElectricalCircuitData,endpoint_f1,delta,weights_vs_activations,5,0.0,0.0625,-0.30664787912465935,-0.25,-1.0,0.1875
