figure,test,panel,metric,dataset,source,n,rho,p_raw,q_bh
structural_sample_size_robustness,spearman,delta,edge_f1,LinearSEMDataset,delta,60,-0.09732053084195351,0.45945631742056403,0.5513475809046768
structural_sample_size_robustness,spearman,absolute,edge_f1,LinearSEMDataset,data_truth,60,0.2931051574373447,0.02303876051231452,0.039495018021110606
structural_sample_size_robustness,spearman,absolute,edge_f1,LinearSEMDataset,model_truth,60,0.01872083049243377,0.8871014372049189,0.8871014372049189
structural_sample_size_robustness,spearman,delta,edge_f1,ElectricalCircuitData,delta,60,-0.7210009005816642,8.205351527671821e-11,3.2821406110687285e-10
structural_sample_size_robustness,spearman,absolute,edge_f1,ElectricalCircuitData,data_truth,60,0.6573929841531709,1.1585253874013212e-08,3.475576162203964e-08
structural_sample_size_robustness,spearman,absolute,edge_f1,ElectricalCircuitData,model_truth,60,-0.504602573764765,3.936968530654997e-05,7.873937061309994e-05
structural_sample_size_robustness,spearman,delta,endpoint_f1,LinearSEMDataset,delta,60,0.02303219064877616,0.8613336481554239,0.8871014372049189
structural_sample_size_robustness,spearman,absolute,endpoint_f1,LinearSEMDataset,data_truth,60,-0.1704496841539192,0.19289050883584682,0.25718734511446245
structural_sample_size_robustness,spearman,absolute,endpoint_f1,LinearSEMDataset,model_truth,60,-0.24398720950563493,0.060290749082259114,0.09043612362338867
structural_sample_size_robustness,spearman,delta,endpoint_f1,ElectricalCircuitData,delta,60,-0.7252419167597117,5.6205981240427424e-11,3.2821406110687285e-10
structural_sample_size_robustness,spearman,absolute,endpoint_f1,ElectricalCircuitData,data_truth,60,0.5681733736794391,2.188760685002249e-06,5.253025644005398e-06
structural_sample_size_robustness,spearman,absolute,endpoint_f1,ElectricalCircuitData,model_truth,60,-0.7210972550543844,8.135745832156561e-11,3.2821406110687285e-10
