dataset,model,n_folds,best_epoch_mean,final_epoch_mean,final_train_loss_mean,best_val_loss_mean,test_loss_mean,final_val_minus_train_loss_mean,test_minus_best_val_loss_mean,early_stop_rate
Linear SEM,"Shallow MLP (2x32, ReLU)",5,28.4,30.6,0.34034633040428164,0.3456853210926056,0.3469957709312439,0.005564647912979104,0.0013104498386383168,1.0
Current Measurement,"Shallow MLP (2x32, ReLU)",5,40.0,40.0,0.09389221668243405,0.0947319477796554,0.09132434427738186,0.0008397310972213634,-0.0034076035022735625,0.0
Linear SEM,"Deep MLP (4x64, GELU)",5,21.0,26.6,0.3562582850456238,0.34560516476631165,0.3466379761695862,-0.010036265850067172,0.0010328114032745251,1.0
Current Measurement,"Deep MLP (4x64, GELU)",5,47.2,53.6,0.09496070742607113,0.06958862543106074,0.0648557879030704,-0.024577172100543995,-0.004732837527990344,0.6
Linear SEM,"Bottleneck MLP (128-16-128, SiLU)",5,19.6,25.4,0.3407306134700775,0.344505763053894,0.34596656560897826,0.00408483147621157,0.0014608025550842175,1.0
Current Measurement,"Bottleneck MLP (128-16-128, SiLU)",5,59.4,60.0,0.06672861129045482,0.06739329248666759,0.062336562573909717,0.0007118955254554804,-0.00505672991275786,0.0
Linear SEM,"Gated MLP (4x64, SiLU)",5,39.2,44.6,0.3584178626537323,0.35098922848701475,0.35119861364364624,-0.006955963373184204,0.00020938515663146973,0.6
Current Measurement,"Gated MLP (4x64, SiLU)",5,58.8,60.0,0.09959583282470696,0.0716669231653213,0.06646733731031411,-0.0272075831890106,-0.0051995858550071775,0.0
Linear SEM,"Residual MLP (128, 3 blocks, GELU)",5,19.4,32.2,0.3402182698249817,0.34438287615776064,0.3462301015853882,0.006415736675262451,0.0018472254276275745,1.0
Current Measurement,"Residual MLP (128, 3 blocks, GELU)",5,42.2,50.0,0.06285103112459178,0.06332827806472777,0.058617920428514436,0.0009774833917617852,-0.004710357636213322,1.0
Linear SEM,"Tabular MLP (256-128-64, SiLU)",5,14.6,22.0,0.3524025857448578,0.344772458076477,0.3458985149860382,-0.006513273715972901,0.0011260569095611684,1.0
Current Measurement,"Tabular MLP (256-128-64, SiLU)",5,50.4,56.2,0.09578543156385419,0.06951231807470318,0.06497521921992297,-0.025517512857913982,-0.004537098854780196,0.4
